work_ID,work_species,work_author,trait_value_1.2.2,trait_value_1.6.3,trait_value_3.2.3,trait_value_4.1.3,agreement_1.2.2,cv_1.6.3,cv_3.2.3,cv_4.1.3,n_1.2.2,n_1.6.3,n_3.2.3,n_4.1.3,references_1.2.2,references_1.6.3,references_3.2.3,references_4.1.3
105619,Salvia brevipes,Benth.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105620,Salvia ovalifolia,A.St.-Hil. ex Benth.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222,10193",NA,NA,NA
105621,Sarcoglottis uliginosa,Barb.Rodr.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222,10262",NA,NA,NA
105623,Schizachyrium gracilipes,(Hack.) A.Camus,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105624,Schizachyrium scabriflorum,(Rupr. ex Hack.) A.Camus,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10262,10193",NA,NA,NA
105625,Schwenckia grandiflora,Benth.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10223",NA,NA,NA
105626,Scleria balansae,Maury ex Micheli,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10262",NA,NA,NA
105628,Sclerophylax lorentzianus,O.Hoffm.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105629,Scoparia hassleriana,Chodat,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222,10262",NA,NA,NA
105630,Senecio cisplatinus,Cabrera,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105631,Senecio oxyphyllus,DC.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105635,Setaria parodii,Nicora,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105636,Sida calchaquiensis,Rodrigo,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105637,Sida confusa,Hassl.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105638,Sida dubia,A.St.-Hil. & Naudin,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105640,Sida potentilloides,A.St.-Hil.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105641,Sida regnellii,R.E.Fr.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105642,Sida tressensiae,Krapov.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105643,Sida vespertina,Ekman,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105645,Sisyrinchium brasiliense,(Ravenna) Ravenna,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105646,Sisyrinchium bromelioides,R.C.Foster,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105647,Sisyrinchium claritae,Herter,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105648,Sisyrinchium dasyspathum,(Ravenna) Ravenna,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262,10193",NA,NA,NA
105649,Sisyrinchium hoehnei,I.M.Johnst.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105650,Sisyrinchium marchioides,Ravenna,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105651,Sisyrinchium sellowianum,Klatt,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105652,Sisyrinchium soboliferum,Ravenna,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105653,Sisyrinchium subnudum,I.M.Johnst.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105654,Skeptrostachys correana,Szlach.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105659,Sorghastrum minarum,(Nees) Hitchc.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10262",NA,NA,NA
105660,Spigelia martiana,Cham.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222,10262",NA,NA,NA
105661,Spigelia stenophylla,Progel,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105662,Sporobolus aeneus,(Trin.) Kunth,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218",NA,NA,NA
105663,Stenachaenium campestre,Baker,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222,10262",NA,NA,NA
105664,Stenachaenium megapotamicum,(Spreng.) Baker,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105666,Stevia selloi,(Spreng.) B.L.Rob.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222",NA,NA,NA
105668,Stylosanthes nervosa,J.F.Macbr.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10223",NA,NA,NA
105669,Stylosanthes rostrata,(Burkart) Vanni,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10262,NA,NA,NA
105670,Symphyotrichum regnellii,(Baker) G.L.Nesom,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105672,Tephrosia hassleri,Chodat,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105673,Thelypteris berroi,(C.Chr.) C.F.Reed,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222,10262",NA,NA,NA
105674,Thelypteris stierii,(Rosenst.) C.F.Reed,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105676,Trichocline humilis,Less.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222,10262",NA,NA,NA
105677,Trichocline speciosa,Less.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222,10262",NA,NA,NA
105678,Tridens hackelii,(Arechav.) Parodi,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105679,Turnera nervosa,Urb.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222",NA,NA,NA
105680,Utricularia myriocista,A.St.-Hil. & Girard,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10250,10262",NA,NA,NA
105683,Verbena ovata,Cham.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105684,Vernonanthura cupularis,(Chodat) H.Rob.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222",NA,NA,NA
105685,Vernonanthura loretensis,(Hieron.) H.Rob.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222",NA,NA,NA
105686,Veyretia neuroptera,(Rchb.f. & Warm.) Szlach.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10250",NA,NA,NA
105687,Veyretia sagittata,(Rchb.f. & Warm.) Szlach.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105688,Vicia tephrosioides,Vogel,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10262,NA,NA,NA
105689,Wettsteiniola apipensis,Tur,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105693,Xyris guaranitica,Malme,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105694,Xyris regnellii,L.A.Nilsson,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105695,Xyris schizachne,Mart.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10262",NA,NA,NA
105696,Zephyranthes flavissima,Ravenna,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105697,Zornia burkartii,Vanni,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105698,Zornia orbiculata,Mohlenbr.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10250",NA,NA,NA
105699,Acanthocalycium spiniflorum,(K.Schum.) Backeb.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105700,Adesmia retrofracta,Hook. & Arn.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105701,Alternanthera pumila,O.Stützer,herb,NA,6e-4,NA,1,NA,NA,NA,1,NA,1,NA,"+10060,-10233",NA,10255,NA
105702,Alternanthera suessenguthii,Covas,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105703,Anogramma lorentzii,(Hieron.) Diels,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105704,Apurimacia dolichocarpa,(Griseb.) Burkart,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10246",NA,NA,NA
105705,Aristida multiramea,Hack.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105707,Astragalus parodii,I.M.Johnst.,herb,NA,0.003,NA,1,NA,NA,NA,1,NA,1,NA,"+10060,-10233",NA,10255,NA
105708,Atriplex crenatifolia,Chodat & Wilczek,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105709,Berberis grevilleana,Gillet,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105710,Berberis hieronymi,C.K.Schneid.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,-10233,10246",NA,NA,NA
105711,Blumenbachia hieronymi,Urb.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,-10233",NA,NA,NA
105712,Boerhavia pulchella,Griseb.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222",NA,NA,NA
105713,Calydorea undulata,Ravenna,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105714,Carex boliviensis,Van Heurck & Müll.Arg.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10223,10193",NA,NA,NA
105715,Carex brachycalama,Griseb.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10220,10223",NA,NA,NA
105716,Carex monodynama,(Griseb.) G.A.Wheeler,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10193",NA,NA,NA
105718,Cerastium argentinum,(Pax) F.N.Williams,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218",NA,NA,NA
105722,Danthonia melanathera,(Hack.) Bernardello,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10193",NA,NA,NA
105723,Ehretia cortesia,Gottschling,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105724,Eryngium agavifolium,Griseb.,herb,NA,0.001418,NA,1,NA,NA,NA,1,NA,1,NA,"+10060,-10233",NA,10255,NA
105725,Escallonia cordobensis,(Kuntze) Hosseus,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105726,Euphorbia kurtzii,Subils,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218",NA,NA,NA
105727,Gentianella parviflora,(Griseb.) T.N.Ho,herb,NA,8.3e-5,NA,1,NA,NA,NA,1,NA,1,NA,"+10060,-10233",NA,10255,NA
105728,Geranium parodii,I.M.Johnst.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105729,Geum brevicarpellatum,F.Bolle,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105730,Grindelia globularifolia,Griseb.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105731,Gymnocalycium amerhauseri,H.Till,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105732,Gymnocalycium andreae,(Boed.) Backeb. & F.M.Knuth,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105733,Gymnocalycium bruchii,(Speg.) Hosseus,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105734,Gymnocalycium capillense,(Schick) Hosseus,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105735,Gymnocalycium erinaceum,J.G.Lamb.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105737,Gymnocalycium mostii,(Gürke) Britton & Rose,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105738,Gymnocalycium ochoterenae,Backeb.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105739,Gymnocalycium quehlianum,(F.Haage ex H.Quehl) Vaupel ex Hosseus,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105740,Gymnocalycium robustum,"R.Kiesling, O.Ferrari & Metzing",herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105741,Gymnocalycium taningaense,Piltz,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105744,Helenium argentinum,Ariza,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105745,Hieracium achalense,Sleumer,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105746,Hieracium criniceps,Sleumer,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105747,Hieracium gilliesianum,Sleumer,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105748,Hypochaeris argentina,Cabrera,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,-10233",NA,NA,NA
105751,Isostigma cordobense,Cabrera,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105752,Stipa academica,Hicken,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10193",NA,NA,NA
105754,Alchemilla frigida,Wedd.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10223",NA,NA,NA
105755,Linum scoparium,Griseb.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218",NA,NA,NA
105756,Malaxis padilliana,L.O.Williams,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10193",NA,NA,NA
105757,Melica decipiens,Caro,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105758,Melochia argentina,R.E.Fr.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218",NA,NA,NA
105760,Mitracarpus brevis,K.Schum. & R.Fr.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105761,Nassella fabrisii,Torres,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105762,Nothoscordum achalense,Ravenna,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105763,Nothoscordum punillense,Ravenna,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105764,Oenothera santarii,W.Dietr.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105766,Parodianthus capillaris,Tronc.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105767,Parodianthus ilicifolius,(Moldenke) Tronc.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105768,Pennellia boliviensis,(Muschl.) Al-Shehbaz,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218",NA,NA,NA
105769,Plantago densa,(Pilg.) Rahn,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105770,Poa hubbardiana,Parodi,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105771,Polygala hieronymi,Chodat,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105773,Prosopis campestris,Griseb.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105775,Rytidosperma pictum,(Nees & Meyen) Nicora,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10193",NA,NA,NA
105776,Salvia calolophos,Epling,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105778,Samolus subnudicaulis,A.St.-Hil.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105779,Schinus praecox,(Griseb.) Speg.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105780,Sclerophylax hunzikeri,Di Fulvio,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105781,Senecio achalensis,Cabrera,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105782,Senecio retanensis,Cabrera,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105783,Setaria alonsoi,Pensiero & A.M.Anton,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10193",NA,NA,NA
105785,Soliva triniifolia,Griseb.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105786,Sophora linearifolia,Griseb.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105787,Sphaeralcea laciniata,(K.Schum.) Krapov.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105789,Tillandsia castellanii,L.B.Sm.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105791,Tridens nicorae,Anton,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105792,Valeriana ferax,(Griseb.) Höck,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,-10233",NA,NA,NA
105793,Valeriana stuckertii,Briq.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105794,Zephyranthes longistyla,Pax,herb,NA,0.0021,NA,1,NA,NA,NA,1,NA,1,NA,"+10060,-10233",NA,10255,NA
105795,Acmella psilocarpa,R.K.Jansen,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105796,Adesmia globosa,Davyt & Izaguirre,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105797,Adesmia securigerifolia,Herter,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105798,Amaranthus rosengurttii,Hunz.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105799,Aristolochia brevifolia,(Cham.) Hauman,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105802,Brachystele widgrenii,(Rchb.f.) Schltr.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105803,Chloraea bella,Hauman,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105806,Cypella laeta,Ravenna,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105807,Cypella osteniana,Beauverd,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10193",NA,NA,NA
105809,Disynaphia calyculata,(Hook. & Arn.) R.M.King & H.Rob.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105810,Ditaxis acaulis,Herter ex Arechav.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222",NA,NA,NA
105812,Eryngium dorae,C.Norman,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105813,Eryngium megapotamicum,Malme,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105814,Frailea castanea,Backeb.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105815,Frailea gracillima,(Lem.) Britton & Rose,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105816,Frailea mammifera,Buining & Brederoo,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10262",NA,NA,NA
105817,Frailea pumila,(Lem.) Britton & Rose,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10250,10262",NA,NA,NA
105818,Frailea pygmaea,(Speg.) Britton & Rose,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10262",NA,NA,NA
105820,Gymnocalycium hyptiacanthum,(Lem.) Britton & Rose,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105822,Harrisia regelii,(Weing.) Borg,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105823,Heimia apetala,(Spreng.) S.A.Graham & Gandhi,shrub,NA,1e-5,NA,1,NA,NA,NA,1,NA,1,NA,"+10060,10262",NA,10247,NA
105824,Heteranthera zosterifolia,Mart.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10262",NA,NA,NA
105825,Lepidium burkartii,Boelcke,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105828,Linum carneum,A.St.-Hil.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105829,Linum erigeroides,A.St.-Hil.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105830,Lithraea brasiliensis,Marchand,tree,9,0.0298,NA,1,NA,NA,NA,1,1,1,NA,"+10060,-10233",10199,10255,NA
105831,Melica tenuis,Arechav.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262,10193",NA,NA,NA
105832,Mimosa ostenii,Speg. ex Burkart,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105833,Nassella juergensii,(Hack.) Barkworth,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105834,Nierembergia calycina,Hook.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105835,Nierembergia micrantha,Cabrera,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105836,Nothoscordum conostylum,Ravenna,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105837,Nothoscordum entrerianum,Ravenna,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105838,Nothoscordum gaudichaudianum,Kunth,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105839,Nothoscordum nudum,Beauverd,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105840,Nothoscordum tenuifolium,Ravenna,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105841,Noticastrum calvatum,(Baker) Cuatrec.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105842,Piptochaetium confusum,Parodi,herb,NA,0.0065,NA,1,NA,NA,NA,1,NA,1,NA,+10060,NA,10255,NA
105843,Rumex polycarpus,Rech.f.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105844,Sisyrinchium uliginosum,Ravenna,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105845,Stevia burkartii,B.L.Rob.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105846,Stomatanthes oblongifolius,(Baker) H.Rob.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10222,10262",NA,NA,NA
105847,Tillandsia crocata,(É.Morren) N.E.Br.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10218,10262",NA,NA,NA
105848,Trichocline incana,Cass.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105849,Utricularia tridentata,Sylvén,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105855,Cienfuegosia schulzii,Krapov.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105856,Desmodium album,(Schindl.) J.F.Macbr.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10262,NA,NA,NA
105857,Discolobium paucijugum,Harms ex Kuntze,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105858,Ditaxis salina,Pax & K.Hoffm.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105859,Galeandra graminoides,Barb.Rodr.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105860,Geranium glanduligerum,R.Knuth,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10262",NA,NA,NA
105862,Ipomoea vivianae,Krapov.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
105863,Lycium athium,Bernardello,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
